Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,225.039993,227.750000,223.880005,227.210007,203.098282,320049800
2017-01-08,226.910004,227.449997,224.960007,227.050003,202.955322,320192700
2017-01-15,226.309998,227.309998,225.410004,226.740005,202.678223,311811500
2017-01-22,226.740005,229.710007,225.270004,228.970001,204.671555,374736400
2017-01-29,228.169998,229.550003,226.320007,229.339996,205.002274,384956600
2017-02-05,228.869995,231.770004,228.309998,231.509995,206.941956,299258600
2017-02-12,232.080002,235.160004,232.050003,235.089996,210.142090,375003400
2017-02-19,235.520004,236.899994,235.410004,236.740005,211.616989,308058800
2017-02-26,236.639999,240.320007,236.020004,238.419998,213.118698,454855800
2017-03-05,237.500000,238.119995,235.740005,237.690002,212.466187,371339600
2017-03-12,237.619995,239.440002,236.190002,237.029999,211.876221,380565500
2017-03-19,237.029999,237.610001,232.960007,233.860001,209.952057,494830700
2017-03-26,231.929993,236.520004,231.610001,235.740005,211.639847,373359800
2017-04-02,235.800003,237.389999,233.910004,235.199997,211.155045,394361400
2017-04-09,235.360001,236.259995,232.509995,232.509995,208.740067,330405400
2017-04-16,233.110001,235.850006,232.880005,234.589996,210.607422,423293100
2017-04-23,237.179993,239.529999,234.559998,238.080002,213.740631,401553800
2017-04-30,238.679993,239.720001,237.699997,239.699997,215.195007,320859900
2017-05-07,239.750000,240.190002,238.130005,238.979996,214.548630,270313700
2017-05-14,239.470001,240.669998,235.429993,238.309998,213.947098,507393900
2017-05-21,238.899994,242.080002,238.820007,241.710007,216.999527,266981600
2017-05-28,241.339996,244.350006,240.639999,244.169998,219.208054,284626000
2017-06-04,243.970001,245.009995,241.949997,243.410004,218.525696,347425600
2017-06-11,243.130005,244.869995,241.630005,242.639999,217.834427,375795400
2017-06-18,243.589996,244.729996,242.410004,243.130005,219.338791,289142700
2017-06-25,243.899994,244.380005,239.960007,241.800003,218.138947,402761200
2017-07-02,242.880005,243.380005,240.339996,242.110001,218.418610,216954500
2017-07-09,242.110001,245.970001,240.850006,245.559998,221.531006,246362600
2017-07-16,245.470001,247.419998,244.669998,246.880005,222.721848,256784700
2017-07-23,246.789993,248.000000,245.679993,246.910004,222.748932,269968300
2017-07-30,247.369995,247.789993,246.369995,247.410004,223.199982,269148100
2017-08-06,247.490005,248.910004,243.699997,244.119995,220.231918,351696400
2017-08-13,245.589996,247.570007,242.199997,242.710007,218.959915,450488500
2017-08-20,242.639999,245.619995,241.830002,244.559998,220.628876,294001200
2017-08-27,245.169998,248.330002,242.929993,247.839996,223.587906,319543000
2017-09-03,247.259995,247.520004,244.949997,246.580002,222.451172,271183200
2017-09-10,248.039993,250.320007,248.020004,249.190002,224.805756,378367500
2017-09-17,249.610001,250.190002,248.919998,249.440002,226.148132,252342800
2017-09-24,249.149994,251.320007,248.080002,251.229996,227.770966,322504600
